,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
10,רבין ק. השרון,וולפסון,רבין ק. בילינסון,שמיר,קפלן,"רמב""ם",שיבא,הכרמל,סוראסקי,סורוקה,הלל יפה,מאיר,בני ציון,הדסה,אסותא אשדוד,זיו צפת,שערי צדק,יוספטל,המרכזי בעמק,לניאדו,נצרת,ברזילי,נהריה,מ.ר. צפון (פוריה),מעייני הישועה
11,הדסה,שמיר,וולפסון,הכרמל,רבין ק. השרון,סוראסקי,מאיר,בני ציון,מעייני הישועה,שיבא,"רמב""ם",סורוקה,שערי צדק,לניאדו,אסותא אשדוד,יוספטל,המרכזי בעמק,הלל יפה,קפלן,ברזילי,נצרת,נהריה,מ.ר. צפון (פוריה),זיו צפת,רבין ק. בילינסון
12,רבין ק. השרון,שמיר,וולפסון,מאיר,המרכזי בעמק,רבין ק. בילינסון,אסותא אשדוד,קפלן,סוראסקי,שיבא,הדסה,מעייני הישועה,הכרמל,בני ציון,הלל יפה,סורוקה,שערי צדק,יוספטל,לניאדו,ברזילי,נצרת,מ.ר. צפון (פוריה),נהריה,זיו צפת,"רמב""ם"
13,אסותא אשדוד,בני ציון,"רמב""ם",סוראסקי,מאיר,הדסה,שיבא,רבין ק. בילינסון,שמיר,סורוקה,רבין ק. השרון,קפלן,שערי צדק,הכרמל,יוספטל,הלל יפה,המרכזי בעמק,מעייני הישועה,זיו צפת,לניאדו,נצרת,נהריה,מ.ר. צפון (פוריה),ברזילי,וולפסון
14,שיבא,בני ציון,וולפסון,רבין ק. בילינסון,מאיר,סוראסקי,שמיר,הדסה,רבין ק. השרון,אסותא אשדוד,המרכזי בעמק,שערי צדק,קפלן,הלל יפה,סורוקה,יוספטל,הכרמל,לניאדו,ברזילי,מעייני הישועה,נהריה,נצרת,מ.ר. צפון (פוריה),זיו צפת,"רמב""ם"
15,מאיר,סוראסקי,שערי צדק,הכרמל,וולפסון,אסותא אשדוד,שיבא,הדסה,הלל יפה,מעייני הישועה,"רמב""ם",יוספטל,בני ציון,קפלן,לניאדו,סורוקה,המרכזי בעמק,נהריה,נצרת,ברזילי,מ.ר. צפון (פוריה),זיו צפת,שמיר,רבין ק. השרון,רבין ק. בילינסון
16,סוראסקי,הלל יפה,יוספטל,מאיר,וולפסון,רבין ק. השרון,קפלן,מעייני הישועה,בני ציון,שמיר,לניאדו,אסותא אשדוד,הדסה,הכרמל,סורוקה,"רמב""ם",המרכזי בעמק,שערי צדק,נצרת,מ.ר. צפון (פוריה),ברזילי,נהריה,זיו צפת,שיבא,רבין ק. בילינסון
17,"רמב""ם",שמיר,סוראסקי,רבין ק. השרון,הלל יפה,מאיר,שיבא,שערי צדק,בני ציון,רבין ק. בילינסון,הדסה,הכרמל,סורוקה,וולפסון,המרכזי בעמק,אסותא אשדוד,קפלן,נהריה,יוספטל,לניאדו,נצרת,זיו צפת,מ.ר. צפון (פוריה),ברזילי,מעייני הישועה
18,שיבא,זיו צפת,סוראסקי,אסותא אשדוד,מאיר,הדסה,רבין ק. השרון,קפלן,שמיר,וולפסון,הכרמל,הלל יפה,סורוקה,נהריה,בני ציון,שערי צדק,לניאדו,מעייני הישועה,המרכזי בעמק,יוספטל,נצרת,ברזילי,מ.ר. צפון (פוריה),"רמב""ם",רבין ק. בילינסון
19,רבין ק. בילינסון,מעייני הישועה,שיבא,סוראסקי,נהריה,מאיר,רבין ק. השרון,"רמב""ם",אסותא אשדוד,שמיר,שערי צדק,הכרמל,קפלן,הלל יפה,סורוקה,בני ציון,המרכזי בעמק,יוספטל,ברזילי,לניאדו,נצרת,זיו צפת,מ.ר. צפון (פוריה),וולפסון,הדסה
20,הכרמל,בני ציון,יוספטל,מעייני הישועה,שערי צדק,סוראסקי,מאיר,"רמב""ם",וולפסון,הדסה,אסותא אשדוד,הלל יפה,שמיר,לניאדו,קפלן,סורוקה,המרכזי בעמק,נצרת,נהריה,ברזילי,מ.ר. צפון (פוריה),זיו צפת,שיבא,רבין ק. השרון,רבין ק. בילינסון
21,רבין ק. בילינסון,שערי צדק,קפלן,הלל יפה,שיבא,שמיר,רבין ק. השרון,סוראסקי,סורוקה,הכרמל,הדסה,וולפסון,אסותא אשדוד,יוספטל,המרכזי בעמק,בני ציון,נהריה,לניאדו,מעייני הישועה,נצרת,ברזילי,מ.ר. צפון (פוריה),"רמב""ם",זיו צפת,מאיר
22,הדסה,הכרמל,שמיר,סוראסקי,מאיר,רבין ק. בילינסון,קפלן,אסותא אשדוד,סורוקה,שיבא,"רמב""ם",הלל יפה,רבין ק. השרון,נהריה,מעייני הישועה,שערי צדק,המרכזי בעמק,יוספטל,לניאדו,נצרת,בני ציון,ברזילי,זיו צפת,מ.ר. צפון (פוריה),וולפסון
23,וולפסון,רבין ק. בילינסון,מאיר,קפלן,אסותא אשדוד,סוראסקי,שיבא,הלל יפה,רבין ק. השרון,לניאדו,הכרמל,הדסה,מעייני הישועה,שמיר,שערי צדק,יוספטל,המרכזי בעמק,ברזילי,מ.ר. צפון (פוריה),נצרת,זיו צפת,סורוקה,נהריה,"רמב""ם",בני ציון
24,רבין ק. בילינסון,"רמב""ם",רבין ק. השרון,מאיר,שמיר,סוראסקי,וולפסון,קפלן,הדסה,אסותא אשדוד,שערי צדק,שיבא,סורוקה,הכרמל,מעייני הישועה,המרכזי בעמק,לניאדו,יוספטל,מ.ר. צפון (פוריה),ברזילי,נצרת,נהריה,זיו צפת,בני ציון,הלל יפה
25,סוראסקי,שיבא,בני ציון,רבין ק. בילינסון,הלל יפה,הכרמל,מאיר,קפלן,רבין ק. השרון,שערי צדק,וולפסון,"רמב""ם",מעייני הישועה,הדסה,סורוקה,אסותא אשדוד,המרכזי בעמק,יוספטל,לניאדו,נצרת,נהריה,ברזילי,מ.ר. צפון (פוריה),זיו צפת,שמיר
26,המרכזי בעמק,בני ציון,הכרמל,"רמב""ם",סוראסקי,רבין ק. בילינסון,מאיר,הלל יפה,אסותא אשדוד,שמיר,מעייני הישועה,הדסה,סורוקה,וולפסון,מ.ר. צפון (פוריה),יוספטל,לניאדו,נצרת,שערי צדק,ברזילי,נהריה,זיו צפת,שיבא,רבין ק. השרון,קפלן
27,שיבא,וולפסון,רבין ק. בילינסון,סוראסקי,שמיר,"רמב""ם",הכרמל,שערי צדק,הלל יפה,מעייני הישועה,קפלן,רבין ק. השרון,הדסה,בני ציון,המרכזי בעמק,מאיר,יוספטל,סורוקה,ברזילי,לניאדו,נצרת,נהריה,מ.ר. צפון (פוריה),זיו צפת,אסותא אשדוד
28,מאיר,בני ציון,שערי צדק,סוראסקי,קפלן,שיבא,וולפסון,רבין ק. בילינסון,שמיר,הדסה,אסותא אשדוד,רבין ק. השרון,הלל יפה,מעייני הישועה,"רמב""ם",יוספטל,סורוקה,המרכזי בעמק,לניאדו,ברזילי,נצרת,מ.ר. צפון (פוריה),נהריה,זיו צפת,הכרמל
29,הדסה,"רמב""ם",סוראסקי,רבין ק. בילינסון,מאיר,שיבא,וולפסון,קפלן,שערי צדק,יוספטל,הכרמל,אסותא אשדוד,שמיר,הלל יפה,סורוקה,בני ציון,המרכזי בעמק,זיו צפת,מעייני הישועה,לניאדו,נצרת,ברזילי,מ.ר. צפון (פוריה),נהריה,רבין ק. השרון
30,הלל יפה,וולפסון,לניאדו,הכרמל,שיבא,מאיר,קפלן,בני ציון,"רמב""ם",אסותא אשדוד,שמיר,הדסה,שערי צדק,סורוקה,המרכזי בעמק,רבין ק. השרון,מעייני הישועה,רבין ק. בילינסון,יוספטל,ברזילי,נהריה,נצרת,זיו צפת,מ.ר. צפון (פוריה),סוראסקי
31,רבין ק. בילינסון,וולפסון,שמיר,מאיר,הדסה,רבין ק. השרון,שיבא,סוראסקי,קפלן,הכרמל,לניאדו,הלל יפה,שערי צדק,סורוקה,ברזילי,מעייני הישועה,יוספטל,המרכזי בעמק,נצרת,נהריה,מ.ר. צפון (פוריה),זיו צפת,"רמב""ם",בני ציון,אסותא אשדוד
32,רבין ק. בילינסון,קפלן,מאיר,אסותא אשדוד,שמיר,סוראסקי,הכרמל,רבין ק. השרון,המרכזי בעמק,הדסה,"רמב""ם",וולפסון,שיבא,בני ציון,סורוקה,נהריה,שערי צדק,יוספטל,לניאדו,נצרת,מעייני הישועה,ברזילי,מ.ר. צפון (פוריה),זיו צפת,הלל יפה
33,סוראסקי,וולפסון,שערי צדק,סורוקה,רבין ק. השרון,הכרמל,לניאדו,מאיר,שמיר,אסותא אשדוד,"רמב""ם",הלל יפה,שיבא,ברזילי,הדסה,בני ציון,המרכזי בעמק,יוספטל,מעייני הישועה,נהריה,נצרת,קפלן,מ.ר. צפון (פוריה),זיו צפת,רבין ק. בילינסון
34,רבין ק. השרון,הדסה,הלל יפה,וולפסון,סוראסקי,מאיר,רבין ק. בילינסון,שמיר,בני ציון,אסותא אשדוד,שערי צדק,מעייני הישועה,"רמב""ם",קפלן,המרכזי בעמק,סורוקה,הכרמל,יוספטל,ברזילי,לניאדו,נצרת,נהריה,מ.ר. צפון (פוריה),זיו צפת,שיבא
35,המרכזי בעמק,בני ציון,סוראסקי,וולפסון,שמיר,הכרמל,"רמב""ם",קפלן,הדסה,הלל יפה,מעייני הישועה,לניאדו,סורוקה,שערי צדק,רבין ק. השרון,ברזילי,אסותא אשדוד,יוספטל,נצרת,נהריה,זיו צפת,מ.ר. צפון (פוריה),מאיר,שיבא,רבין ק. בילינסון
36,שיבא,מאיר,הדסה,שמיר,הלל יפה,בני ציון,סורוקה,המרכזי בעמק,רבין ק. השרון,אסותא אשדוד,שערי צדק,וולפסון,הכרמל,"רמב""ם",מעייני הישועה,יוספטל,נהריה,לניאדו,ברזילי,זיו צפת,נצרת,מ.ר. צפון (פוריה),סוראסקי,רבין ק. בילינסון,קפלן
37,וולפסון,"רמב""ם",רבין ק. בילינסון,סוראסקי,שמיר,רבין ק. השרון,שיבא,קפלן,שערי צדק,הדסה,ברזילי,סורוקה,מעייני הישועה,הכרמל,יוספטל,הלל יפה,המרכזי בעמק,בני ציון,לניאדו,מ.ר. צפון (פוריה),נצרת,נהריה,זיו צפת,אסותא אשדוד,מאיר
38,וולפסון,בני ציון,סוראסקי,אסותא אשדוד,"רמב""ם",שמיר,רבין ק. בילינסון,מאיר,הדסה,הכרמל,לניאדו,קפלן,סורוקה,הלל יפה,יוספטל,שערי צדק,המרכזי בעמק,מ.ר. צפון (פוריה),מעייני הישועה,ברזילי,נצרת,נהריה,זיו צפת,רבין ק. השרון,שיבא
39,רבין ק. בילינסון,לניאדו,הדסה,שיבא,סוראסקי,קפלן,הלל יפה,אסותא אשדוד,שמיר,יוספטל,סורוקה,וולפסון,"רמב""ם",הכרמל,שערי צדק,בני ציון,המרכזי בעמק,מעייני הישועה,רבין ק. השרון,נצרת,ברזילי,מ.ר. צפון (פוריה),נהריה,זיו צפת,מאיר
40,רבין ק. בילינסון,וולפסון,שיבא,שערי צדק,הכרמל,שמיר,רבין ק. השרון,אסותא אשדוד,קפלן,מעייני הישועה,סורוקה,המרכזי בעמק,הלל יפה,הדסה,יוספטל,"רמב""ם",בני ציון,לניאדו,ברזילי,זיו צפת,נהריה,נצרת,מ.ר. צפון (פוריה),סוראסקי,מאיר
41,שערי צדק,סוראסקי,מאיר,הלל יפה,רבין ק. בילינסון,שמיר,וולפסון,הדסה,שיבא,מעייני הישועה,בני ציון,"רמב""ם",קפלן,הכרמל,סורוקה,אסותא אשדוד,המרכזי בעמק,יוספטל,לניאדו,ברזילי,נצרת,נהריה,מ.ר. צפון (פוריה),זיו צפת,רבין ק. השרון
42,בני ציון,מאיר,רבין ק. בילינסון,מעייני הישועה,סוראסקי,וולפסון,"רמב""ם",שמיר,לניאדו,אסותא אשדוד,שערי צדק,סורוקה,קפלן,הדסה,הלל יפה,הכרמל,המרכזי בעמק,יוספטל,זיו צפת,מ.ר. צפון (פוריה),נצרת,ברזילי,נהריה,רבין ק. השרון,שיבא
43,רבין ק. בילינסון,סוראסקי,הכרמל,שערי צדק,רבין ק. השרון,שיבא,מאיר,שמיר,אסותא אשדוד,וולפסון,הלל יפה,סורוקה,הדסה,"רמב""ם",המרכזי בעמק,קפלן,בני ציון,מעייני הישועה,ברזילי,יוספטל,מ.ר. צפון (פוריה),נצרת,נהריה,זיו צפת,לניאדו
44,סוראסקי,שיבא,לניאדו,וולפסון,קפלן,מאיר,רבין ק. השרון,הדסה,מעייני הישועה,שמיר,בני ציון,"רמב""ם",הלל יפה,נהריה,הכרמל,שערי צדק,סורוקה,יוספטל,ברזילי,המרכזי בעמק,נצרת,אסותא אשדוד,זיו צפת,מ.ר. צפון (פוריה),רבין ק. בילינסון
45,רבין ק. בילינסון,שמיר,שיבא,המרכזי בעמק,לניאדו,אסותא אשדוד,הכרמל,סוראסקי,קפלן,וולפסון,"רמב""ם",מאיר,שערי צדק,הדסה,בני ציון,סורוקה,יוספטל,הלל יפה,מעייני הישועה,זיו צפת,נצרת,ברזילי,נהריה,מ.ר. צפון (פוריה),רבין ק. השרון
46,ברזילי,לניאדו,קפלן,סוראסקי,הכרמל,רבין ק. בילינסון,שיבא,מעייני הישועה,וולפסון,אסותא אשדוד,"רמב""ם",שמיר,הלל יפה,סורוקה,המרכזי בעמק,הדסה,בני ציון,יוספטל,מ.ר. צפון (פוריה),שערי צדק,נצרת,נהריה,זיו צפת,רבין ק. השרון,מאיר
47,סוראסקי,וולפסון,"רמב""ם",שיבא,רבין ק. השרון,מ.ר. צפון (פוריה),מאיר,שמיר,הדסה,הלל יפה,אסותא אשדוד,שערי צדק,הכרמל,מעייני הישועה,סורוקה,קפלן,המרכזי בעמק,יוספטל,ברזילי,לניאדו,נצרת,נהריה,זיו צפת,בני ציון,רבין ק. בילינסון
48,קפלן,שיבא,רבין ק. בילינסון,שמיר,סוראסקי,אסותא אשדוד,נהריה,המרכזי בעמק,הכרמל,"רמב""ם",מאיר,הלל יפה,בני ציון,מעייני הישועה,יוספטל,שערי צדק,לניאדו,סורוקה,רבין ק. השרון,ברזילי,נצרת,מ.ר. צפון (פוריה),זיו צפת,הדסה,וולפסון
49,רבין ק. בילינסון,שמיר,אסותא אשדוד,הלל יפה,קפלן,שיבא,וולפסון,רבין ק. השרון,הדסה,יוספטל,"רמב""ם",לניאדו,המרכזי בעמק,סורוקה,בני ציון,שערי צדק,הכרמל,נהריה,מעייני הישועה,ברזילי,נצרת,זיו צפת,מ.ר. צפון (פוריה),סוראסקי,מאיר
50,רבין ק. בילינסון,קפלן,הלל יפה,"רמב""ם",הכרמל,הדסה,שיבא,שערי צדק,אסותא אשדוד,סוראסקי,רבין ק. השרון,שמיר,וולפסון,סורוקה,בני ציון,המרכזי בעמק,יוספטל,נצרת,ברזילי,לניאדו,נהריה,מ.ר. צפון (פוריה),זיו צפת,מעייני הישועה,מאיר
51,וולפסון,מאיר,"רמב""ם",יוספטל,הכרמל,סוראסקי,קפלן,שמיר,רבין ק. השרון,מעייני הישועה,שיבא,אסותא אשדוד,שערי צדק,בני ציון,לניאדו,ברזילי,המרכזי בעמק,סורוקה,נצרת,נהריה,מ.ר. צפון (פוריה),הדסה,זיו צפת,הלל יפה,רבין ק. בילינסון
52,הכרמל,הלל יפה,רבין ק. בילינסון,אסותא אשדוד,מאיר,קפלן,רבין ק. השרון,סוראסקי,הדסה,סורוקה,מעייני הישועה,"רמב""ם",וולפסון,שערי צדק,בני ציון,המרכזי בעמק,ברזילי,יוספטל,לניאדו,שמיר,נצרת,נהריה,מ.ר. צפון (פוריה),זיו צפת,שיבא
53,הלל יפה,"רמב""ם",סורוקה,המרכזי בעמק,וולפסון,שמיר,הכרמל,רבין ק. בילינסון,יוספטל,רבין ק. השרון,אסותא אשדוד,הדסה,קפלן,שערי צדק,זיו צפת,בני ציון,מעייני הישועה,נצרת,ברזילי,לניאדו,נהריה,מ.ר. צפון (פוריה),סוראסקי,שיבא,מאיר
54,הלל יפה,יוספטל,סוראסקי,רבין ק. בילינסון,שמיר,מאיר,וולפסון,מעייני הישועה,שערי צדק,בני ציון,סורוקה,אסותא אשדוד,קפלן,הדסה,הכרמל,שיבא,המרכזי בעמק,לניאדו,נצרת,ברזילי,נהריה,מ.ר. צפון (פוריה),זיו צפת,רבין ק. השרון,"רמב""ם"
55,רבין ק. בילינסון,שיבא,מאיר,רבין ק. השרון,וולפסון,סוראסקי,"רמב""ם",בני ציון,שמיר,אסותא אשדוד,הלל יפה,המרכזי בעמק,סורוקה,הכרמל,שערי צדק,לניאדו,מעייני הישועה,יוספטל,ברזילי,זיו צפת,נצרת,נהריה,מ.ר. צפון (פוריה),הדסה,קפלן
56,הכרמל,רבין ק. בילינסון,מאיר,הדסה,שיבא,רבין ק. השרון,סוראסקי,שמיר,וולפסון,בני ציון,הלל יפה,אסותא אשדוד,סורוקה,"רמב""ם",שערי צדק,קפלן,המרכזי בעמק,יוספטל,מעייני הישועה,ברזילי,נצרת,נהריה,זיו צפת,מ.ר. צפון (פוריה),לניאדו
57,רבין ק. בילינסון,שערי צדק,"רמב""ם",מאיר,מעייני הישועה,שמיר,הדסה,סוראסקי,רבין ק. השרון,וולפסון,קפלן,המרכזי בעמק,הלל יפה,סורוקה,הכרמל,בני ציון,מ.ר. צפון (פוריה),יוספטל,נהריה,לניאדו,ברזילי,נצרת,זיו צפת,שיבא,אסותא אשדוד
58,רבין ק. בילינסון,הלל יפה,מעייני הישועה,מאיר,שמיר,שיבא,סוראסקי,וולפסון,שערי צדק,הכרמל,אסותא אשדוד,סורוקה,יוספטל,רבין ק. השרון,בני ציון,קפלן,"רמב""ם",המרכזי בעמק,ברזילי,לניאדו,נהריה,נצרת,זיו צפת,מ.ר. צפון (פוריה),הדסה
59,בני ציון,שערי צדק,רבין ק. השרון,שמיר,רבין ק. בילינסון,קפלן,מאיר,וולפסון,מעייני הישועה,"רמב""ם",ברזילי,אסותא אשדוד,הכרמל,המרכזי בעמק,הלל יפה,יוספטל,סורוקה,הדסה,לניאדו,נצרת,מ.ר. צפון (פוריה),נהריה,זיו צפת,שיבא,סוראסקי
60,שיבא,הכרמל,סוראסקי,הלל יפה,רבין ק. השרון,רבין ק. בילינסון,מאיר,הדסה,מעייני הישועה,אסותא אשדוד,לניאדו,קפלן,המרכזי בעמק,שערי צדק,סורוקה,בני ציון,יוספטל,וולפסון,נצרת,זיו צפת,מ.ר. צפון (פוריה),ברזילי,נהריה,"רמב""ם",שמיר
61,שיבא,אסותא אשדוד,רבין ק. בילינסון,מאיר,שמיר,וולפסון,רבין ק. השרון,הכרמל,מעייני הישועה,קפלן,הדסה,"רמב""ם",בני ציון,הלל יפה,המרכזי בעמק,שערי צדק,יוספטל,לניאדו,סורוקה,נצרת,ברזילי,נהריה,מ.ר. צפון (פוריה),זיו צפת,סוראסקי
62,אסותא אשדוד,רבין ק. בילינסון,קפלן,מאיר,שמיר,סוראסקי,מעייני הישועה,רבין ק. השרון,הדסה,הכרמל,הלל יפה,בני ציון,יוספטל,המרכזי בעמק,סורוקה,שערי צדק,לניאדו,"רמב""ם",נהריה,ברזילי,נצרת,זיו צפת,מ.ר. צפון (פוריה),שיבא,וולפסון
63,וולפסון,מעייני הישועה,אסותא אשדוד,שיבא,סוראסקי,רבין ק. השרון,רבין ק. בילינסון,מאיר,שמיר,לניאדו,הכרמל,בני ציון,הדסה,שערי צדק,הלל יפה,סורוקה,קפלן,המרכזי בעמק,יוספטל,ברזילי,נצרת,נהריה,מ.ר. צפון (פוריה),זיו צפת,"רמב""ם"
64,סוראסקי,"רמב""ם",בני ציון,וולפסון,רבין ק. השרון,הלל יפה,שמיר,המרכזי בעמק,מעייני הישועה,אסותא אשדוד,קפלן,שערי צדק,הדסה,נצרת,סורוקה,יוספטל,לניאדו,הכרמל,מ.ר. צפון (פוריה),נהריה,ברזילי,זיו צפת,מאיר,שיבא,רבין ק. בילינסון
65,אסותא אשדוד,שיבא,רבין ק. בילינסון,שמיר,מעייני הישועה,הדסה,וולפסון,"רמב""ם",הלל יפה,רבין ק. השרון,הכרמל,קפלן,שערי צדק,בני ציון,המרכזי בעמק,לניאדו,יוספטל,סורוקה,נהריה,מ.ר. צפון (פוריה),נצרת,ברזילי,זיו צפת,מאיר,סוראסקי
66,המרכזי בעמק,ברזילי,הכרמל,רבין ק. השרון,וולפסון,רבין ק. בילינסון,שמיר,סוראסקי,הדסה,סורוקה,קפלן,הלל יפה,"רמב""ם",אסותא אשדוד,יוספטל,שערי צדק,בני ציון,מעייני הישועה,לניאדו,נצרת,זיו צפת,נהריה,מ.ר. צפון (פוריה),שיבא,מאיר
67,רבין ק. בילינסון,"רמב""ם",שיבא,הכרמל,הלל יפה,קפלן,לניאדו,מאיר,שמיר,יוספטל,בני ציון,וולפסון,המרכזי בעמק,סורוקה,שערי צדק,אסותא אשדוד,רבין ק. השרון,מעייני הישועה,הדסה,מ.ר. צפון (פוריה),נצרת,ברזילי,נהריה,זיו צפת,סוראסקי
68,וולפסון,קפלן,רבין ק. בילינסון,סוראסקי,מאיר,רבין ק. השרון,שמיר,אסותא אשדוד,הדסה,שיבא,שערי צדק,"רמב""ם",יוספטל,המרכזי בעמק,בני ציון,מעייני הישועה,סורוקה,ברזילי,הכרמל,לניאדו,נצרת,מ.ר. צפון (פוריה),נהריה,זיו צפת,הלל יפה
69,המרכזי בעמק,בני ציון,אסותא אשדוד,סוראסקי,שיבא,קפלן,הכרמל,סורוקה,מאיר,מעייני הישועה,"רמב""ם",וולפסון,רבין ק. בילינסון,נהריה,הדסה,שערי צדק,רבין ק. השרון,לניאדו,יוספטל,זיו צפת,נצרת,ברזילי,מ.ר. צפון (פוריה),שמיר,הלל יפה
70,רבין ק. בילינסון,שיבא,סוראסקי,מאיר,הלל יפה,"רמב""ם",וולפסון,אסותא אשדוד,הדסה,הכרמל,שערי צדק,רבין ק. השרון,יוספטל,לניאדו,סורוקה,בני ציון,ברזילי,המרכזי בעמק,מעייני הישועה,נצרת,נהריה,מ.ר. צפון (פוריה),זיו צפת,שמיר,קפלן
71,מאיר,שיבא,בני ציון,רבין ק. בילינסון,סוראסקי,הכרמל,שמיר,מעייני הישועה,סורוקה,אסותא אשדוד,"רמב""ם",רבין ק. השרון,הדסה,הלל יפה,שערי צדק,ברזילי,מ.ר. צפון (פוריה),יוספטל,המרכזי בעמק,לניאדו,נצרת,נהריה,זיו צפת,וולפסון,קפלן
72,סוראסקי,מאיר,שיבא,רבין ק. בילינסון,שמיר,רבין ק. השרון,וולפסון,מעייני הישועה,הדסה,אסותא אשדוד,סורוקה,קפלן,"רמב""ם",הלל יפה,שערי צדק,יוספטל,המרכזי בעמק,הכרמל,ברזילי,לניאדו,נצרת,נהריה,מ.ר. צפון (פוריה),זיו צפת,בני ציון
73,סורוקה,"רמב""ם",יוספטל,רבין ק. בילינסון,סוראסקי,מאיר,הלל יפה,הדסה,אסותא אשדוד,שמיר,רבין ק. השרון,וולפסון,מעייני הישועה,לניאדו,בני ציון,הכרמל,המרכזי בעמק,שערי צדק,ברזילי,נצרת,נהריה,מ.ר. צפון (פוריה),זיו צפת,שיבא,קפלן
74,שמיר,המרכזי בעמק,מאיר,סוראסקי,קפלן,"רמב""ם",וולפסון,שיבא,יוספטל,רבין ק. השרון,שערי צדק,הלל יפה,הכרמל,מעייני הישועה,הדסה,בני ציון,ברזילי,סורוקה,מ.ר. צפון (פוריה),לניאדו,נצרת,נהריה,זיו צפת,רבין ק. בילינסון,אסותא אשדוד
75,סוראסקי,שיבא,סורוקה,מאיר,מ.ר. צפון (פוריה),רבין ק. בילינסון,וולפסון,רבין ק. השרון,מעייני הישועה,"רמב""ם",לניאדו,הדסה,בני ציון,הכרמל,שערי צדק,הלל יפה,המרכזי בעמק,יוספטל,נצרת,ברזילי,נהריה,זיו צפת,אסותא אשדוד,שמיר,קפלן
